,word,familarity,cn_meaning,meaning
0,fervent,F,情感强烈的，热烈的,adj. exhibiting or marked by great intensity of feeling
1,alleviate,F,减轻,v. to reduce the pain or trouble of
2,contagious,F,传染的,adj. communicable by contact
3,pedantic,F,卖弄知识的,"adj. narrowly, stodgily, and often ostentatiously learned"
4,unwieldy,F,体积庞大而笨重的,"adj. difficult to handle, control, or deal with because of being large, heavy, or complex"
5,vociferous,F,吵吵嚷嚷的,adj. expressing feelings or opinions in a very loud or forceful way 
6,profess,F,宣称,v. to say or declare (something) openly
7,obseisance,F,尊敬，敬意,n. respect for someone or something
8,diffuse,T,分散的,adj. spread out over a large space
9,fulminate,F,抨击，辱骂,v. to utter or send out with denunciation
10,voluble,F,健谈的，话多的,adj. talking a lot in an energetic and rapid way
11,sterling,F,高质量的,adj. conforming to the highest standard
12,surmount,F,克服，战胜,v. to prevail over
13,prying,F,窥视的,adj. trying to find out about people's private lives
14,inhibit,F,抑制，限制,v. to hold in check
15,censure,F,批评,v. to find fault with and criticize as blameworthy
16,peripatetic,F,巡游,adj. itinerant
17,stringent,F,非常严格的,adj. very strict or serve
18,dwindle,F,减少，下降,v. to gradually become smaller
19,underrate,F,低估,v. to rate or value (someone or something) too low
20,incursion,F,侵入，侵犯,n. a hostile entrance into a territory
21,divulge,F,泄漏,v. to make known (something private or secret)
22,inadvertent ,F,粗心的，不留意的不故意的,adj. marked by or resulting from carelessness; negligent
23,panegyric,F,赞文；赞美,n. a formal eulogistic composition intended as a public compliment
24,draconian ,F,极其严苛的,adj. exceedingly harsh or very severe
25,hodgepodge ,F,混杂，混合物,n. a mixture of different things
26,incontrovertible ,F,不容置疑的,adj. impossible to dispute
27,impartial ,T,公正的，不偏不倚的,adj. not partial or biased
28,endemic,F,地方性的，流行的,"adj. prevalent in or limited to a particular locality, region, or people"
29,minuscule ,F,微小的,adj. very small and tiny
30,lucrative,F,盈利的，赚钱的,adj. producing wealth
31,compensate,T,弥补,"v. to offset an error, defect, or undesired effect"
32,discursive,F,杂乱无章的,adj. moving from topic to topic without order; rambling
33,presuppose,T,预先假设,v. to suppose beforehand
34,intermediary,F,（作为）中间人（的）,n. acting as a mediator
35,derogate,F,贬低,v. to cause to seem inferior
36,overbearing,F,专横傲慢的,adj. often trying to control the behavior of other people in an annoying or unwanted way
37,zealous,T,对（某人或偶像）狂热的,"adj. marked by fervent partisanship for a person, a cause, or an ideal"
38,extraneous,F,不重要的，不相关的,adj. not important
39,rehash,F,（没有实质改变地）重提,v. to bring forth again in another form without significant alteration
40,perfunctory,F,不走心的，敷衍草率的,"adj. acting with indifference, showing little interest or care"
41,compound,T,混合，合成,v. to form by combining seperate things
42,envy,T,嫉妒,v. to feel a desire to have what someone else does
43,defensive,T,被动防守的，防御的,adj. in a situation which you are forced to defend or protect someone or something
44,unbounded,T,不受限制的,adj. not limited in any way
45,specious,F,似是而非的,adj. falsely appearing to be right
46,aimless,T,漫无目的的,adj. not having a goal or purpose
